DATE,Count
2015-06-15,249
2015-06-16,249
2015-06-17,234
2015-06-18,294
2015-06-19,289
2015-06-20,261
2015-06-21,186
2015-06-22,262
2015-06-23,266
2015-06-24,276
2015-06-25,294
2015-06-26,273
2015-06-27,310
2015-06-28,237
2015-06-29,252
2015-06-30,259
2015-07-01,289
2015-07-02,265
2015-07-03,269
2015-07-04,251
2015-07-05,247
2015-07-06,288
2015-07-07,261
2015-07-08,262
2015-07-09,232
2015-07-10,304
2015-07-11,253
2015-07-12,259
2015-07-13,274
2015-07-14,288
2015-07-15,292
2015-07-16,271
2015-07-17,293
2015-07-18,239
2015-07-19,246
2015-07-20,276
2015-07-21,276
2015-07-22,268
2015-07-23,290
2015-07-24,301
2015-07-25,266
2015-07-26,197
2015-07-27,274
2015-07-28,264
2015-07-29,274
2015-07-30,266
2015-07-31,289
2015-08-01,277
2015-08-02,242
2015-08-03,278
2015-08-04,276
2015-08-05,302
2015-08-06,276
2015-08-07,300
2015-08-08,252
2015-08-09,221
2015-08-10,284
2015-08-11,253
2015-08-12,247
2015-08-13,283
2015-08-14,288
2015-08-15,254
2015-08-16,211
2015-08-17,281
2015-08-18,299
2015-08-19,259
2015-08-20,265
2015-08-21,286
2015-08-22,282
2015-08-23,219
2015-08-24,266
2015-08-25,287
2015-08-26,297
2015-08-27,244
2015-08-28,270
2015-08-29,280
2015-08-30,259
2015-08-31,304
2015-09-01,303
2015-09-02,298
2015-09-03,280
2015-09-04,281
2015-09-05,241
2015-09-06,233
2015-09-07,244
2015-09-08,292
2015-09-09,299
2015-09-10,280
2015-09-11,273
2015-09-12,305
2015-09-13,240
2015-09-14,262
2015-09-15,302
2015-09-16,279
2015-09-17,301
2015-09-18,303
2015-09-19,326
2015-09-20,268
2015-09-21,296
2015-09-22,272
2015-09-23,291
2015-09-24,285
2015-09-25,337
2015-09-26,278
2015-09-27,261
2015-09-28,286
2015-09-29,272
2015-09-30,226
2015-10-01,262
2015-10-02,301
2015-10-03,259
2015-10-04,229
2015-10-05,263
2015-10-06,281
2015-10-07,315
2015-10-08,288
2015-10-09,274
2015-10-10,257
2015-10-11,260
2015-10-12,232
2015-10-13,296
2015-10-14,291
2015-10-15,280
2015-10-16,318
2015-10-17,246
2015-10-18,211
2015-10-19,244
2015-10-20,269
2015-10-21,287
2015-10-22,264
2015-10-23,318
2015-10-24,246
2015-10-25,225
2015-10-26,248
2015-10-27,269
2015-10-28,257
2015-10-29,238
2015-10-30,275
2015-10-31,305
2015-11-01,317
2015-11-02,281
2015-11-03,313
2015-11-04,283
2015-11-05,251
2015-11-06,301
2015-11-07,275
2015-11-08,245
2015-11-09,286
2015-11-10,247
2015-11-11,233
2015-11-12,293
2015-11-13,273
2015-11-14,283
2015-11-15,231
2015-11-16,258
2015-11-17,276
2015-11-18,234
2015-11-19,287
2015-11-20,317
2015-11-21,255
2015-11-22,227
2015-11-23,269
2015-11-24,206
2015-11-25,280
2015-11-26,184
2015-11-27,243
2015-11-28,254
2015-11-29,190
2015-11-30,226
2015-12-01,291
2015-12-02,287
2015-12-03,246
2015-12-04,313
2015-12-05,235
2015-12-06,260
2015-12-07,299
2015-12-08,290
2015-12-09,284
2015-12-10,260
2015-12-11,268
2015-12-12,276
2015-12-13,210
2015-12-14,270
2015-12-15,282
2015-12-16,252
2015-12-17,295
2015-12-18,307
2015-12-19,232
2015-12-20,244
2015-12-21,310
2015-12-22,274
2015-12-23,258
2015-12-24,247
2015-12-25,162
2015-12-26,189
2015-12-27,215
2015-12-28,235
2015-12-29,202
2015-12-30,220
2015-12-31,278
2016-01-01,354
2016-01-02,260
2016-01-03,192
2016-01-04,226
2016-01-05,261
2016-01-06,262
2016-01-07,305
2016-01-08,287
2016-01-09,228
2016-01-10,184
2016-01-11,243
2016-01-12,271
2016-01-13,238
2016-01-14,277
2016-01-15,320
2016-01-16,238
2016-01-17,187
2016-01-18,231
2016-01-19,240
2016-01-20,243
2016-01-21,237
2016-01-22,265
2016-01-23,248
2016-01-24,194
2016-01-25,237
2016-01-26,255
2016-01-27,259
2016-01-28,272
2016-01-29,298
2016-01-30,270
2016-01-31,253
2016-02-01,327
2016-02-02,300
2016-02-03,247
2016-02-04,256
2016-02-05,232
2016-02-06,244
2016-02-07,212
2016-02-08,166
2016-02-09,237
2016-02-10,263
2016-02-11,240
2016-02-12,265
2016-02-13,199
2016-02-14,197
2016-02-15,243
2016-02-16,267
2016-02-17,263
2016-02-18,234
2016-02-19,284
2016-02-20,286
2016-02-21,238
2016-02-22,267
2016-02-23,247
2016-02-24,227
2016-02-25,291
2016-02-26,269
2016-02-27,306
2016-02-28,224
2016-02-29,277
2016-03-01,277
2016-03-02,218
2016-03-03,244
2016-03-04,254
2016-03-05,218
2016-03-06,226
2016-03-07,267
2016-03-08,251
2016-03-09,277
2016-03-10,245
2016-03-11,260
2016-03-12,295
2016-03-13,277
2016-03-14,255
2016-03-15,258
2016-03-16,279
2016-03-17,266
2016-03-18,305
2016-03-19,286
2016-03-20,308
2016-03-21,237
2016-03-22,296
2016-03-23,260
2016-03-24,281
2016-03-25,245
2016-03-26,284
2016-03-27,211
2016-03-28,260
2016-03-29,278
2016-03-30,279
2016-03-31,302
2016-04-01,353
2016-04-02,283
2016-04-03,233
2016-04-04,241
2016-04-05,257
2016-04-06,262
2016-04-07,313
2016-04-08,278
2016-04-09,280
2016-04-10,221
2016-04-11,307
2016-04-12,264
2016-04-13,303
2016-04-14,260
2016-04-15,291
2016-04-16,239
2016-04-17,252
2016-04-18,262
2016-04-19,253
2016-04-20,287
2016-04-21,254
2016-04-22,245
2016-04-23,271
2016-04-24,276
2016-04-25,284
2016-04-26,273
2016-04-27,287
2016-04-28,229
2016-04-29,296
2016-04-30,247
2016-05-01,274
2016-05-02,282
2016-05-03,225
2016-05-04,229
2016-05-05,300
2016-05-06,301
2016-05-07,250
2016-05-08,237
2016-05-09,279
2016-05-10,278
2016-05-11,306
2016-05-12,307
2016-05-13,289
2016-05-14,255
2016-05-15,243
2016-05-16,290
2016-05-17,282
2016-05-18,284
2016-05-19,267
2016-05-20,259
2016-05-21,286
2016-05-22,272
2016-05-23,287
2016-05-24,303
2016-05-25,287
2016-05-26,302
2016-05-27,269
2016-05-28,286
2016-05-29,260
2016-05-30,252
2016-05-31,337
2016-06-01,314
2016-06-02,308
2016-06-03,329
2016-06-04,290
2016-06-05,240
2016-06-06,275
2016-06-07,336
2016-06-08,274
2016-06-09,283
2016-06-10,305
2016-06-11,261
2016-06-12,241
2016-06-13,324
2016-06-14,299
2016-06-15,330
2016-06-16,320
2016-06-17,290
2016-06-18,257
2016-06-19,234
2016-06-20,307
2016-06-21,284
2016-06-22,297
2016-06-23,298
2016-06-24,312
2016-06-25,238
2016-06-26,252
2016-06-27,248
2016-06-28,246
2016-06-29,298
2016-06-30,268
2016-07-01,284
2016-07-02,268
2016-07-03,231
2016-07-04,284
2016-07-05,319
2016-07-06,309
2016-07-07,258
2016-07-08,286
2016-07-09,230
2016-07-10,244
2016-07-11,300
2016-07-12,289
2016-07-13,263
2016-07-14,284
2016-07-15,272
2016-07-16,308
2016-07-17,257
2016-07-18,271
2016-07-19,263
2016-07-20,270
2016-07-21,286
2016-07-22,268
2016-07-23,308
2016-07-24,252
2016-07-25,287
2016-07-26,285
2016-07-27,310
2016-07-28,298
2016-07-29,285
2016-07-30,270
2016-07-31,280
2016-08-01,330
2016-08-02,273
2016-08-03,298
2016-08-04,276
2016-08-05,275
2016-08-06,259
2016-08-07,255
2016-08-08,288
2016-08-09,310
2016-08-10,328
2016-08-11,296
2016-08-12,271
2016-08-13,253
2016-08-14,288
2016-08-15,336
2016-08-16,309
2016-08-17,311
2016-08-18,310
2016-08-19,283
2016-08-20,284
2016-08-21,254
2016-08-22,313
2016-08-23,299
2016-08-24,295
2016-08-25,246
2016-08-26,267
2016-08-27,277
2016-08-28,285
2016-08-29,289
2016-08-30,305
2016-08-31,275
2016-09-01,378
2016-09-02,319
2016-09-03,261
2016-09-04,248
2016-09-05,258
2016-09-06,236
2016-09-07,257
2016-09-08,248
2016-09-09,265
2016-09-10,260
2016-09-11,265
2016-09-12,298
2016-09-13,287
2016-09-14,293
2016-09-15,278
2016-09-16,354
2016-09-17,273
2016-09-18,271
2016-09-19,288
2016-09-20,292
2016-09-21,301
2016-09-22,283
2016-09-23,316
2016-09-24,302
2016-09-25,277
2016-09-26,281
2016-09-27,285
2016-09-28,271
2016-09-29,287
2016-09-30,290
2016-10-01,315
2016-10-02,252
2016-10-03,258
2016-10-04,273
2016-10-05,272
2016-10-06,304
2016-10-07,283
2016-10-08,345
2016-10-09,229
2016-10-10,249
2016-10-11,290
2016-10-12,265
2016-10-13,259
2016-10-14,303
2016-10-15,301
2016-10-16,239
2016-10-17,288
2016-10-18,277
2016-10-19,302
2016-10-20,254
2016-10-21,306
2016-10-22,252
2016-10-23,258
2016-10-24,310
2016-10-25,253
2016-10-26,281
2016-10-27,271
2016-10-28,275
2016-10-29,269
2016-10-30,239
2016-10-31,311
2016-11-01,344
2016-11-02,308
2016-11-03,272
2016-11-04,283
2016-11-05,297
2016-11-06,251
2016-11-07,261
2016-11-08,247
2016-11-09,243
2016-11-10,291
2016-11-11,294
2016-11-12,266
2016-11-13,205
2016-11-14,254
2016-11-15,299
2016-11-16,296
2016-11-17,309
2016-11-18,277
2016-11-19,264
2016-11-20,258
2016-11-21,267
2016-11-22,267
2016-11-23,264
2016-11-24,149
2016-11-25,239
2016-11-26,238
2016-11-27,213
2016-11-28,258
2016-11-29,265
2016-11-30,243
2016-12-01,315
2016-12-02,301
2016-12-03,253
2016-12-04,262
2016-12-05,260
2016-12-06,298
2016-12-07,299
2016-12-08,300
2016-12-09,278
2016-12-10,231
2016-12-11,238
2016-12-12,259
2016-12-13,262
2016-12-14,248
2016-12-15,279
2016-12-16,242
2016-12-17,264
2016-12-18,252
2016-12-19,278
2016-12-20,249
2016-12-21,238
2016-12-22,281
2016-12-23,267
2016-12-24,195
2016-12-25,140
2016-12-26,199
2016-12-27,224
2016-12-28,266
2016-12-29,275
2016-12-30,233
2016-12-31,265
2017-01-01,278
2017-01-02,219
2017-01-03,230
2017-01-04,273
2017-01-05,268
2017-01-06,279
2017-01-07,228
2017-01-08,193
2017-01-09,276
2017-01-10,264
2017-01-11,267
2017-01-12,257
2017-01-13,263
2017-01-14,247
2017-01-15,225
2017-01-16,223
2017-01-17,283
2017-01-18,249
2017-01-19,270
2017-01-20,270
2017-01-21,278
2017-01-22,237
2017-01-23,297
2017-01-24,262
2017-01-25,297
2017-01-26,273
2017-01-27,288
2017-01-28,288
2017-01-29,226
2017-01-30,260
2017-01-31,225
2017-02-01,272
2017-02-02,256
2017-02-03,261
2017-02-04,249
2017-02-05,212
2017-02-06,212
2017-02-07,251
2017-02-08,312
2017-02-09,220
2017-02-10,249
2017-02-11,233
2017-02-12,225
2017-02-13,257
2017-02-14,303
2017-02-15,315
2017-02-16,291
2017-02-17,296
2017-02-18,288
2017-02-19,224
2017-02-20,265
2017-02-21,257
2017-02-22,255
2017-02-23,276
2017-02-24,353
2017-02-25,290
2017-02-26,242
2017-02-27,278
2017-02-28,266
2017-03-01,307
2017-03-02,272
2017-03-03,269
2017-03-04,208
2017-03-05,207
2017-03-06,251
2017-03-07,265
2017-03-08,278
2017-03-09,276
2017-03-10,275
2017-03-11,252
2017-03-12,216
2017-03-13,272
2017-03-14,213
2017-03-15,229
2017-03-16,290
2017-03-17,312
2017-03-18,267
2017-03-19,229
2017-03-20,319
2017-03-21,274
2017-03-22,257
2017-03-23,256
2017-03-24,283
2017-03-25,246
2017-03-26,234
2017-03-27,303
2017-03-28,232
2017-03-29,264
2017-03-30,301
2017-03-31,322
2017-04-01,296
2017-04-02,276
2017-04-03,274
2017-04-04,254
2017-04-05,256
2017-04-06,253
2017-04-07,295
2017-04-08,252
2017-04-09,228
2017-04-10,271
2017-04-11,278
2017-04-12,286
2017-04-13,313
2017-04-14,274
2017-04-15,250
2017-04-16,249
2017-04-17,259
2017-04-18,265
2017-04-19,285
2017-04-20,244
2017-04-21,276
2017-04-22,240
2017-04-23,273
2017-04-24,293
2017-04-25,249
2017-04-26,260
2017-04-27,274
2017-04-28,300
2017-04-29,302
2017-04-30,244
2017-05-01,337
2017-05-02,315
2017-05-03,271
2017-05-04,317
2017-05-05,309
2017-05-06,263
2017-05-07,248
2017-05-08,272
2017-05-09,287
2017-05-10,252
2017-05-11,255
2017-05-12,298
2017-05-13,288
2017-05-14,228
2017-05-15,247
2017-05-16,359
2017-05-17,328
2017-05-18,295
2017-05-19,334
2017-05-20,291
2017-05-21,250
2017-05-22,244
2017-05-23,271
2017-05-24,318
2017-05-25,262
2017-05-26,293
2017-05-27,242
2017-05-28,235
2017-05-29,223
2017-05-30,288
2017-05-31,295
2017-06-01,332
2017-06-02,325
2017-06-03,292
2017-06-04,236
2017-06-05,284
2017-06-06,274
2017-06-07,288
2017-06-08,325
2017-06-09,257
2017-06-10,303
2017-06-11,295
2017-06-12,286
2017-06-13,344
2017-06-14,316
2017-06-15,346
2017-06-16,333
2017-06-17,258
2017-06-18,242
2017-06-19,284
2017-06-20,288
2017-06-21,306
2017-06-22,290
2017-06-23,307
2017-06-24,293
2017-06-25,327
2017-06-26,321
2017-06-27,304
2017-06-28,336
2017-06-29,311
2017-06-30,282
2017-07-01,331
2017-07-02,246
2017-07-03,301
2017-07-04,272
2017-07-05,325
2017-07-06,300
2017-07-07,275
2017-07-08,295
2017-07-09,241
2017-07-10,329
2017-07-11,291
2017-07-12,288
2017-07-13,272
2017-07-14,313
2017-07-15,271
2017-07-16,275
2017-07-17,311
2017-07-18,312
2017-07-19,300
2017-07-20,274
2017-07-21,310
2017-07-22,329
2017-07-23,221
2017-07-24,251
2017-07-25,305
2017-07-26,314
2017-07-27,323
2017-07-28,285
2017-07-29,304
2017-07-30,260
2017-07-31,351
2017-08-01,350
2017-08-02,313
2017-08-03,336
2017-08-04,361
2017-08-05,257
2017-08-06,248
2017-08-07,317
2017-08-08,290
2017-08-09,319
2017-08-10,312
2017-08-11,284
2017-08-12,316
2017-08-13,259
2017-08-14,318
2017-08-15,278
2017-08-16,326
2017-08-17,289
2017-08-18,299
2017-08-19,296
2017-08-20,279
2017-08-21,284
2017-08-22,303
2017-08-23,307
2017-08-24,309
2017-08-25,276
2017-08-26,265
2017-08-27,278
2017-08-28,299
2017-08-29,271
2017-08-30,247
2017-08-31,320
2017-09-01,376
